detailId,price,paymentDate,status
74,105.9,2020-12-23 13:55:00,udane
125,70.0,2021-05-30 12:54:00,udane
44,125.5,2022-03-10 07:10:00,udane
178,154.5,2022-01-09 09:02:00,udane
44,125.5,2022-04-16 17:51:00,udane
100,58.0,2022-07-12 07:03:00,udane
21,137.5,2021-08-05 07:03:00,udane
121,110.5,2022-01-20 10:23:00,udane
227,99.0,2022-10-27 16:25:00,udane
1,52.0,2023-02-26 20:25:00,udane
245,108.0,2020-12-31 11:16:00,udane
56,127.9,2020-12-31 11:22:00,udane
126,136.9,2022-04-07 15:24:00,udane
132,121.5,2022-07-14 18:02:00,udane
45,87.5,2022-11-21 16:54:00,udane
212,116.9,2021-02-28 08:46:00,udane
153,141.9,2022-11-04 21:08:00,udane
89,115.0,2023-01-25 11:51:00,udane
201,68.9,2024-12-25 07:05:00,udane
213,86.0,2023-01-11 21:01:00,udane
173,77.5,2023-11-14 10:08:00,udane
223,63.5,2021-05-11 08:09:00,udane
75,43.0,2021-08-30 07:01:00,udane
101,55.5,2022-10-15 21:20:00,udane
138,48.9,2021-09-17 07:10:00,udane
198,90.5,2023-12-18 07:03:00,udane
109,152.0,2024-10-27 10:18:00,udane
192,134.9,2021-03-01 13:47:00,udane
50,65.9,2021-05-11 09:05:00,udane
138,48.9,2021-08-11 07:03:00,udane
247,124.0,2022-09-06 08:47:00,udane
165,109.9,2022-11-24 13:36:00,udane
28,74.9,2023-11-23 15:23:00,udane
198,90.5,2024-01-31 09:10:00,udane
90,147.9,2024-01-31 09:10:00,udane
39,100.5,2024-10-16 08:53:00,udane
109,152.0,2024-10-16 08:53:00,udane
79,103.5,2024-12-17 14:23:00,udane
244,149.0,2024-12-17 14:19:00,udane
124,47.9,2022-04-24 18:01:00,udane
58,60.9,2023-12-13 21:03:00,udane
228,111.0,2024-05-07 09:20:00,udane
260,86.0,2021-05-16 07:07:00,udane
32,143.0,2023-11-06 08:01:00,udane
213,86.0,2023-03-13 10:52:00,udane
196,99.5,2022-05-16 07:02:00,udane
248,105.9,2023-06-23 10:46:00,udane
142,77.0,2024-03-10 07:06:00,udane
72,73.5,2022-05-30 12:20:00,udane
132,121.5,2022-08-07 13:06:00,udane
214,46.5,2024-04-11 07:04:00,udane
258,144.5,2024-04-11 07:05:00,udane
245,108.0,2020-12-11 07:07:00,udane
140,115.9,2020-12-11 07:03:00,udane
56,127.9,2021-03-05 10:03:00,udane
236,40.5,2021-05-02 07:08:00,udane
132,121.5,2022-08-06 07:07:00,udane
258,144.5,2024-05-03 21:03:00,udane
135,101.9,2021-02-20 08:40:00,udane
273,96.9,2021-12-04 08:37:00,udane
215,149.9,2024-05-10 21:10:00,udane
238,77.5,2021-09-23 13:02:00,udane
66,53.5,2024-03-01 21:08:00,udane
74,105.9,2020-12-08 07:03:00,udane
125,70.0,2021-04-19 07:05:00,udane
178,154.5,2022-01-22 15:52:00,udane
29,105.5,2022-03-30 08:46:00,udane
168,121.5,2024-08-19 13:50:00,udane
114,156.9,2021-08-26 07:10:00,udane
278,53.0,2024-01-25 10:31:00,udane
6,41.5,2024-09-13 07:03:00,udane
194,138.0,2024-03-17 07:09:00,udane
120,62.0,2024-06-19 11:52:00,udane
219,107.9,2024-05-28 13:10:00,udane
188,103.9,2024-11-19 10:18:00,udane
97,95.5,2022-04-08 09:16:00,udane
54,110.0,2022-04-08 09:22:00,udane
3,64.9,2022-06-30 17:53:00,udane
257,122.9,2022-06-30 17:46:00,udane
247,124.0,2022-08-21 12:34:00,udane
143,81.9,2022-08-21 12:37:00,udane
275,153.9,2023-11-22 14:05:00,udane
236,40.5,2021-03-27 14:04:00,udane
