acivity_id,acivity_type,price,user_id,start_date,type
1,2,520,935,2023-04-25 10:00,stationary/hybrid
1,2,520,609,2023-04-25 10:00,stationary/hybrid
1,2,520,696,2023-04-25 10:00,stationary/hybrid
1,2,520,463,2023-04-25 10:00,stationary/hybrid
1,2,520,692,2023-04-25 10:00,stationary/hybrid
1,2,520,718,2023-04-25 10:00,stationary/hybrid
1,2,520,830,2023-04-25 10:00,stationary/hybrid
1,2,520,353,2023-04-25 10:00,stationary/hybrid
1,2,520,702,2023-04-25 10:00,stationary/hybrid
1,2,520,326,2023-04-25 10:00,stationary/hybrid
1,2,520,742,2023-04-25 10:00,stationary/hybrid
1,2,520,324,2023-04-25 10:00,stationary/hybrid
1,2,520,352,2023-04-25 10:00,stationary/hybrid
1,2,520,715,2023-04-25 10:00,stationary/hybrid
1,2,520,622,2023-04-25 10:00,stationary/hybrid
1,2,520,734,2023-04-25 10:00,stationary/hybrid
1,2,520,1000,2023-04-25 10:00,stationary/hybrid
2,2,1240,541,2023-07-10 08:30,stationary/hybrid
2,2,1240,1081,2023-07-10 08:30,stationary/hybrid
2,2,1240,150,2023-07-10 08:30,stationary/hybrid
2,2,1240,726,2023-07-10 08:30,stationary/hybrid
2,2,1240,634,2023-07-10 08:30,stationary/hybrid
2,2,1240,737,2023-07-10 08:30,stationary/hybrid
2,2,1240,480,2023-07-10 08:30,stationary/hybrid
2,2,1240,651,2023-07-10 08:30,stationary/hybrid
2,2,1240,432,2023-07-10 08:30,stationary/hybrid
2,2,1240,764,2023-07-10 08:30,stationary/hybrid
2,2,1240,384,2023-07-10 08:30,stationary/hybrid
2,2,1240,135,2023-07-10 08:30,stationary/hybrid
2,2,1240,453,2023-07-10 08:30,stationary/hybrid
2,2,1240,367,2023-07-10 08:30,stationary/hybrid
2,2,1240,113,2023-07-10 08:30,stationary/hybrid
2,2,1240,143,2023-07-10 08:30,stationary/hybrid
2,2,1240,194,2023-07-10 08:30,stationary/hybrid
2,2,1240,218,2023-07-10 08:30,stationary/hybrid
2,2,1240,819,2023-07-10 08:30,stationary/hybrid
2,2,1240,1092,2023-07-10 08:30,stationary/hybrid
2,2,1240,977,2023-07-10 08:30,stationary/hybrid
2,2,1240,567,2023-07-10 08:30,stationary/hybrid
2,2,1240,959,2023-07-10 08:30,stationary/hybrid
3,2,649,604,2022-08-11 08:15,stationary/hybrid
3,2,649,380,2022-08-11 08:15,stationary/hybrid
3,2,649,24,2022-08-11 08:15,stationary/hybrid
3,2,649,264,2022-08-11 08:15,stationary/hybrid
3,2,649,1034,2022-08-11 08:15,stationary/hybrid
3,2,649,344,2022-08-11 08:15,stationary/hybrid
3,2,649,676,2022-08-11 08:15,stationary/hybrid
3,2,649,858,2022-08-11 08:15,stationary/hybrid
3,2,649,753,2022-08-11 08:15,stationary/hybrid
3,2,649,946,2022-08-11 08:15,stationary/hybrid
3,2,649,826,2022-08-11 08:15,stationary/hybrid
3,2,649,1044,2022-08-11 08:15,stationary/hybrid
3,2,649,440,2022-08-11 08:15,stationary/hybrid
3,2,649,693,2022-08-11 08:15,stationary/hybrid
3,2,649,453,2022-08-11 08:15,stationary/hybrid
3,2,649,154,2022-08-11 08:15,stationary/hybrid
3,2,649,71,2022-08-11 08:15,stationary/hybrid
3,2,649,396,2022-08-11 08:15,stationary/hybrid
3,2,649,845,2022-08-11 08:15,stationary/hybrid
3,2,649,102,2022-08-11 08:15,stationary/hybrid
3,2,649,851,2022-08-11 08:15,stationary/hybrid
3,2,649,1081,2022-08-11 08:15,stationary/hybrid
3,2,649,287,2022-08-11 08:15,stationary/hybrid
3,2,649,38,2022-08-11 08:15,stationary/hybrid
3,2,649,367,2022-08-11 08:15,stationary/hybrid
3,2,649,210,2022-08-11 08:15,stationary/hybrid
4,2,1599,1095,2025-06-09 08:00,stationary/hybrid
4,2,1599,185,2025-06-09 08:00,stationary/hybrid
4,2,1599,945,2025-06-09 08:00,stationary/hybrid
4,2,1599,942,2025-06-09 08:00,stationary/hybrid
4,2,1599,876,2025-06-09 08:00,stationary/hybrid
4,2,1599,918,2025-06-09 08:00,stationary/hybrid
4,2,1599,321,2025-06-09 08:00,stationary/hybrid
4,2,1599,231,2025-06-09 08:00,stationary/hybrid
4,2,1599,153,2025-06-09 08:00,stationary/hybrid
4,2,1599,22,2025-06-09 08:00,stationary/hybrid
4,2,1599,586,2025-06-09 08:00,stationary/hybrid
4,2,1599,920,2025-06-09 08:00,stationary/hybrid
4,2,1599,274,2025-06-09 08:00,stationary/hybrid
5,2,1489,322,2023-05-22 08:45,stationary/hybrid
5,2,1489,422,2023-05-22 08:45,stationary/hybrid
5,2,1489,807,2023-05-22 08:45,stationary/hybrid
5,2,1489,999,2023-05-22 08:45,stationary/hybrid
5,2,1489,863,2023-05-22 08:45,stationary/hybrid
5,2,1489,317,2023-05-22 08:45,stationary/hybrid
5,2,1489,559,2023-05-22 08:45,stationary/hybrid
5,2,1489,922,2023-05-22 08:45,stationary/hybrid
5,2,1489,1099,2023-05-22 08:45,stationary/hybrid
5,2,1489,517,2023-05-22 08:45,stationary/hybrid
5,2,1489,436,2023-05-22 08:45,stationary/hybrid
5,2,1489,610,2023-05-22 08:45,stationary/hybrid
5,2,1489,978,2023-05-22 08:45,stationary/hybrid
5,2,1489,152,2023-05-22 08:45,stationary/hybrid
5,2,1489,1087,2023-05-22 08:45,stationary/hybrid
6,2,415,594,2024-10-17 09:00,stationary/hybrid
6,2,415,712,2024-10-17 09:00,stationary/hybrid
6,2,415,490,2024-10-17 09:00,stationary/hybrid
6,2,415,454,2024-10-17 09:00,stationary/hybrid
6,2,415,435,2024-10-17 09:00,stationary/hybrid
6,2,415,871,2024-10-17 09:00,stationary/hybrid
6,2,415,1017,2024-10-17 09:00,stationary/hybrid
6,2,415,182,2024-10-17 09:00,stationary/hybrid
6,2,415,1061,2024-10-17 09:00,stationary/hybrid
6,2,415,869,2024-10-17 09:00,stationary/hybrid
6,2,415,418,2024-10-17 09:00,stationary/hybrid
6,2,415,798,2024-10-17 09:00,stationary/hybrid
6,2,415,457,2024-10-17 09:00,stationary/hybrid
6,2,415,716,2024-10-17 09:00,stationary/hybrid
6,2,415,843,2024-10-17 09:00,stationary/hybrid
6,2,415,733,2024-10-17 09:00,stationary/hybrid
6,2,415,846,2024-10-17 09:00,stationary/hybrid
6,2,415,762,2024-10-17 09:00,stationary/hybrid
6,2,415,989,2024-10-17 09:00,stationary/hybrid
6,2,415,663,2024-10-17 09:00,stationary/hybrid
6,2,415,527,2024-10-17 09:00,stationary/hybrid
6,2,415,611,2024-10-17 09:00,stationary/hybrid
6,2,415,302,2024-10-17 09:00,stationary/hybrid
6,2,415,661,2024-10-17 09:00,stationary/hybrid
6,2,415,644,2024-10-17 09:00,stationary/hybrid
6,2,415,412,2024-10-17 09:00,stationary/hybrid
6,2,415,137,2024-10-17 09:00,stationary/hybrid
